free fall at 7s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
0,000	-0,137	-0,960	-0,079	-11,414	4,547	4,822
0,010	-0,139	-0,954	-0,088	-11,688	4,303	4,883
0,020	-0,141	-0,949	-0,098	-11,963	4,089	4,181
0,030	-0,142	-0,944	-0,106	-12,360	4,059	2,716
0,040	-0,145	-0,942	-0,114	-12,756	4,395	0,793
0,050	-0,148	-0,943	-0,117	-12,909	5,066	-1,221
0,060	-0,151	-0,949	-0,118	-12,726	6,165	-2,930
0,070	-0,155	-0,958	-0,113	-12,115	7,355	-3,998
0,080	-0,160	-0,968	-0,106	-11,139	8,362	-4,272
0,090	-0,164	-0,980	-0,100	-9,766	8,484	-3,784
0,100	-0,161	-0,987	-0,096	-7,874	7,690	-2,747
0,110	-0,155	-0,987	-0,093	-5,890	6,592	-1,221
0,120	-0,150	-0,985	-0,093	-4,517	5,554	0,488
0,130	-0,146	-0,981	-0,099	-3,937	4,669	2,045
0,140	-0,143	-0,977	-0,107	-4,059	4,059	3,448
0,150	-0,143	-0,977	-0,115	-4,639	4,059	4,608
0,160	-0,141	-0,978	-0,124	-5,096	4,852	5,310
0,170	-0,139	-0,979	-0,133	-5,188	6,866	5,432
0,180	-0,141	-0,978	-0,136	-4,669	10,010	4,974
0,190	-0,145	-0,976	-0,129	-3,479	13,580	4,120
0,200	-0,146	-0,976	-0,124	-1,770	17,059	3,052
0,210	-0,144	-0,975	-0,120	0,000	19,836	2,014
0,220	-0,132	-0,991	-0,095	2,197	22,156	0,519
0,230	-0,132	-1,011	-0,076	8,789	25,208	-3,418
0,240	-0,144	-1,016	-0,084	18,036	29,114	-8,698
0,250	-0,149	-1,013	-0,109	25,665	32,196	-14,313
0,260	-0,146	-1,005	-0,129	29,816	33,783	-19,562
0,270	-0,142	-0,995	-0,139	31,128	34,576	-23,804
0,280	-0,135	-0,982	-0,143	30,884	36,041	-27,130
0,290	-0,129	-0,971	-0,144	29,633	38,483	-29,785
0,300	-0,124	-0,965	-0,149	28,046	41,534	-32,043
0,310	-0,117	-0,961	-0,148	26,886	45,441	-34,119
0,320	-0,108	-0,957	-0,139	25,848	51,117	-35,248
0,330	-0,098	-0,958	-0,130	24,414	58,167	-35,217
0,340	-0,078	-0,960	-0,117	22,888	65,765	-34,607
0,350	-0,049	-0,959	-0,101	21,606	74,402	-33,875
0,360	-0,018	-0,951	-0,080	21,088	84,320	-33,752
0,370	0,010	-0,947	-0,050	21,240	95,123	-34,943
0,380	0,032	-0,952	-0,015	22,003	105,255	-38,025
0,390	0,046	-0,963	0,020	23,254	112,488	-42,725
0,400	0,050	-0,980	0,049	24,567	115,387	-48,279
0,410	0,048	-0,994	0,068	26,123	113,647	-54,108
0,420	0,048	-1,001	0,077	28,290	107,941	-59,662
0,430	0,050	-0,999	0,082	31,219	100,006	-64,209
0,440	0,054	-0,986	0,082	34,271	91,583	-67,230
0,450	0,062	-0,961	0,076	36,652	83,405	-68,024
0,460	0,061	-0,948	0,078	37,689	75,775	-66,162
0,470	0,055	-0,946	0,078	36,896	69,305	-61,371
0,480	0,070	-0,924	0,065	34,302	63,385	-54,291
0,490	0,091	-0,891	0,051	30,121	56,885	-46,143
0,500	0,104	-0,859	0,045	24,170	50,049	-36,438
0,510	0,107	-0,832	0,043	15,503	42,969	-24,750
0,520	0,106	-0,808	0,041	4,242	34,760	-10,742
0,530	0,101	-0,789	0,036	-8,545	24,902	5,737
0,540	0,092	-0,782	0,019	-21,698	13,550	24,567
0,550	0,057	-0,919	-0,056	-31,860	3,754	42,694
0,560	-0,006	-1,059	-0,114	-30,945	2,441	45,654
0,570	-0,057	-1,134	-0,151	-25,391	7,050	32,104
0,580	-0,092	-1,136	-0,180	-19,592	11,841	13,855
0,590	-0,111	-1,086	-0,181	-14,160	13,092	1,007
0,600	-0,116	-1,026	-0,156	-10,590	9,308	-4,333
0,610	-0,110	-0,991	-0,121	-10,406	3,815	-3,784
0,620	-0,084	-0,998	-0,082	-13,306	-1,678	0,183
0,630	-0,038	-1,032	-0,029	-18,494	-8,148	3,967
0,640	0,014	-1,070	0,030	-25,909	-16,327	5,188
0,650	0,053	-1,081	0,062	-34,576	-24,384	4,913
0,660	0,063	-1,069	0,048	-44,403	-30,762	4,791
0,670	0,052	-1,056	0,000	-54,413	-36,285	5,524
0,680	0,038	-1,034	-0,063	-62,103	-41,534	7,996
0,690	0,026	-1,003	-0,103	-66,223	-44,464	11,322
0,700	0,074	-1,011	-0,131	-65,552	-45,044	14,648
0,710	0,117	-1,043	-0,143	-55,298	-40,131	19,104
0,720	0,152	-1,041	-0,136	-34,363	-29,297	21,820
0,730	0,162	-1,002	-0,109	-9,338	-13,916	22,186
0,740	0,131	-0,954	-0,072	11,139	2,655	20,172
0,750	0,061	-0,904	-0,057	22,095	15,350	16,052
0,760	-0,010	-0,856	-0,090	22,186	20,630	9,644
0,770	-0,067	-0,871	-0,148	12,848	19,501	4,578
0,780	-0,093	-0,927	-0,178	0,275	14,099	4,761
0,790	-0,079	-0,969	-0,160	-8,881	6,714	9,033
0,800	-0,054	-1,005	-0,140	-12,848	1,373	12,268
0,810	-0,028	-1,025	-0,139	-11,383	-1,068	12,543
0,820	-0,001	-1,029	-0,138	-6,592	-1,007	10,376
0,830	0,018	-1,026	-0,137	-0,427	1,221	6,073
0,840	0,020	-1,020	-0,120	6,409	5,463	1,587
0,850	0,009	-1,017	-0,085	13,672	11,230	-0,732
0,860	-0,002	-1,026	-0,064	20,325	16,907	0,366
0,870	-0,009	-1,026	-0,077	24,658	21,484	4,669
0,880	-0,005	-1,024	-0,098	25,391	23,926	9,827
0,890	0,007	-1,035	-0,111	23,590	24,261	13,153
0,900	0,013	-1,043	-0,112	20,874	23,560	13,428
0,910	0,011	-1,051	-0,103	18,341	21,820	10,651
0,920	0,008	-1,054	-0,103	16,266	19,043	6,287
0,930	0,011	-1,049	-0,104	13,306	15,625	1,312
0,940	0,019	-1,044	-0,096	9,064	12,329	-3,326
0,950	0,024	-1,038	-0,087	4,303	10,376	-6,805
0,960	0,033	-1,034	-0,075	-0,366	10,223	-8,362
0,970	0,043	-1,032	-0,073	-3,326	11,688	-8,514
0,980	0,049	-1,026	-0,085	-3,876	14,221	-8,148
0,990	0,053	-1,022	-0,104	-3,693	16,418	-7,538
1,000	0,053	-1,014	-0,126	-3,845	17,578	-6,866
